,Feature,Coefficient Value
0,LotFrontage,10379.71966
1,LotArea,15338.26701
2,YearBuilt,-25902.16238
3,YearRemodAdd,9962.188136
4,MasVnrArea,10354.99567
5,BsmtFinSF1,11001.99487
6,BsmtFinSF2,-41952.19244
7,BsmtUnfSF,-11630.20579
8,TotalBsmtSF,60271.37994
9,1stFlrSF,52890.25292
10,2ndFlrSF,51446.05863
11,LowQualFinSF,41264.57591
12,GrLivArea,10754.68612
13,BsmtFullBath,11714.34103
14,BsmtHalfBath,-31132.62686
15,FullBath,-19210.5168
16,HalfBath,-16286.5133
17,BedroomAbvGr,-7756.32021
18,KitchenAbvGr,-10753.49579
19,TotRmsAbvGrd,48578.87801
20,Fireplaces,23894.10891
21,GarageCars,-15654.51419
22,GarageArea,-14288.46031
23,WoodDeckSF,-16080.04403
24,OpenPorchSF,35334.12007
25,EnclosedPorch,32580.32193
26,3SsnPorch,42681.93825
27,ScreenPorch,46935.05984
28,PoolArea,14161.56016
29,MiscVal,-130556.7325
30,MoSold,57000.04886
31,YrSold,6080.930279
32,MSSubClass_30,-24085.45124
33,MSSubClass_40,-15955.67823
34,MSSubClass_45,42056.95513
35,MSSubClass_50,-29428.13361
36,MSSubClass_60,15336.56078
37,MSSubClass_70,38153.61489
38,MSSubClass_75,97336.19655
39,MSSubClass_80,141302.1542
40,MSSubClass_85,-51113.3264
41,MSSubClass_90,-26764.89882
42,MSSubClass_120,-15675.16009
43,MSSubClass_160,-12287.53504
44,MSSubClass_180,-4190.38834
45,MSSubClass_190,2144.132952
46,MSZoning_FV,8595.262136
47,MSZoning_RH,29508.42893
48,MSZoning_RL,34149.98823
49,MSZoning_RM,32493.08762
50,Street_Pave,40459.55103
51,LotShape_IR2,61033.47168
52,LotShape_IR3,27163.84798
53,LotShape_Reg,-19632.85709
54,LandContour_HLS,105735.8551
55,LandContour_Low,56811.01069
56,LandContour_Lvl,15764.64539
57,Utilities_NoSeWa,-25387.76285
58,LotConfig_CulDSac,45733.97856
59,LotConfig_FR2,-20125.4266
60,LotConfig_FR3,-24299.3102
61,LotConfig_Inside,-0.001627438
62,LandSlope_Mod,-30871.08632
63,LandSlope_Sev,-15160.36986
64,Neighborhood_Blueste,-12331.82368
65,Neighborhood_BrDale,15959.00755
66,Neighborhood_BrkSide,16692.33611
67,Neighborhood_ClearCr,53450.45097
68,Neighborhood_CollgCr,-34973.52785
69,Neighborhood_Crawfor,-21881.9337
70,Neighborhood_Edwards,-31214.95152
71,Neighborhood_Gilbert,-9846.863671
72,Neighborhood_IDOTRR,-31525.13078
73,Neighborhood_MeadowV,22973.82747
74,Neighborhood_Mitchel,-12998.08757
75,Neighborhood_NAmes,-8547.659021
76,Neighborhood_NPkVill,-14214.52803
77,Neighborhood_NWAmes,2608.552288
78,Neighborhood_NoRidge,11668.76528
79,Neighborhood_NridgHt,-7180.628442
80,Neighborhood_OldTown,-40360.74286
81,Neighborhood_SWISU,-10204.40379
82,Neighborhood_Sawyer,-37673.54167
83,Neighborhood_SawyerW,-8646.064855
84,Neighborhood_Somerst,31166.40317
85,Neighborhood_StoneBr,412.2432309
86,Neighborhood_Timber,0
87,Neighborhood_Veenker,401.6496392
88,Condition1_Feedr,7039.409402
89,Condition1_Norm,93.69946869
90,Condition1_PosA,17698.7889
91,Condition1_PosN,-3295.151003
92,Condition1_RRAe,-14325.16764
93,Condition1_RRAn,-17385.55802
94,Condition1_RRNe,-3533.059137
95,Condition1_RRNn,-20707.54731
96,Condition2_Feedr,-3243.014326
97,Condition2_Norm,35223.45185
98,Condition2_PosA,51597.65017
99,Condition2_PosN,21270.21627
